8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
9,11
9,12
9,13
9,14
9,15
8,16
8,17
8,18
8,19
8,20
47,21
57,22
98,23
57,24
108,25
87,26
66,27
30,28
57,29
87,30
52,31
72,32
86,33
87,34
110,35
14,36
14,37
57,38
110,39
57,40
54,41
16,42
87,43
88,44
30,45
30,46
47,47
37,48
57,49
109,50
23,51
98,52
20,53
23,54
72,55
109,56
78,57
37,58
31,59
54,60
109,61
110,62
67,63
74,64
52,65
98,66
110,67
20,68
78,69
47,70
54,71
72,72
57,73
57,74
74,75
110,76
67,77
47,78
66,79
18,80
46,81
98,82
52,83
14,84
31,85
107,86
52,87
58,88
66,89
74,90
30,91
57,92
86,93
110,94
58,95
30,96
98,97
67,98
20,99
37,100
87,101
8,102
67,103
57,104
71,105
72,106
16,107
30,108
57,109
30,110
18,111
57,112
20,113
88,114
74,115
58,116
66,117
67,118
109,119
67,120
28,121
32,125
32,128
77,129
102,130
53,131
53,133
53,139
89,141
100,142
61,143
32,144
28,146
32,148
32,149
17,151
43,154
24,156
32,159
32,161
100,163
102,164
70,165
102,166
53,168
43,169
32,171
24,172
32,173
40,174
94,175
100,177
40,179
32,180
32,181
24,182
15,183
53,184
100,185
89,186
75,188
32,189
15,190
29,191
75,192
75,193
94,194
40,197
77,198
43,200
32,203
70,205
53,206
94,207
53,208
24,209
43,210
102,211
102,214
77,217
43,219
102,220
